,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_cat,Embarked_cat
72,73,0,2,male,21.0,0,0,73.5,S,1,2
73,74,0,3,male,26.0,1,0,14.4542,C,1,0
74,75,1,3,male,32.0,0,0,56.4958,S,1,2
75,76,0,3,male,25.0,0,0,7.65,S,1,2
78,79,1,2,male,0.83,0,2,29.0,S,1,2
79,80,1,3,female,30.0,0,0,12.475,S,0,2
80,81,0,3,male,22.0,0,0,9.0,S,1,2
81,82,1,3,male,29.0,0,0,9.5,S,1,2
83,84,0,1,male,28.0,0,0,47.1,S,1,2
84,85,1,2,female,17.0,0,0,10.5,S,0,2
85,86,1,3,female,33.0,3,0,15.85,S,0,2
86,87,0,3,male,16.0,1,3,34.375,S,1,2
88,89,1,1,female,23.0,3,2,263.0,S,0,2
89,90,0,3,male,24.0,0,0,8.05,S,1,2
90,91,0,3,male,29.0,0,0,8.05,S,1,2
91,92,0,3,male,20.0,0,0,7.8542,S,1,2
92,93,0,1,male,46.0,1,0,61.175,S,1,2
93,94,0,3,male,26.0,1,2,20.575,S,1,2
94,95,0,3,male,59.0,0,0,7.25,S,1,2
96,97,0,1,male,71.0,0,0,34.6542,C,1,0
97,98,1,1,male,23.0,0,1,63.3583,C,1,0
98,99,1,2,female,34.0,0,1,23.0,S,0,2
99,100,0,2,male,34.0,1,0,26.0,S,1,2
100,101,0,3,female,28.0,0,0,7.8958,S,0,2
102,103,0,1,male,21.0,0,1,77.2875,S,1,2
103,104,0,3,male,33.0,0,0,8.6542,S,1,2
104,105,0,3,male,37.0,2,0,7.925,S,1,2
105,106,0,3,male,28.0,0,0,7.8958,S,1,2
106,107,1,3,female,21.0,0,0,7.65,S,0,2
108,109,0,3,male,38.0,0,0,7.8958,S,1,2
110,111,0,1,male,47.0,0,0,52.0,S,1,2
111,112,0,3,female,14.5,1,0,14.4542,C,0,0
112,113,0,3,male,22.0,0,0,8.05,S,1,2
113,114,0,3,female,20.0,1,0,9.825,S,0,2
114,115,0,3,female,17.0,0,0,14.4583,C,0,0
115,116,0,3,male,21.0,0,0,7.925,S,1,2
116,117,0,3,male,70.5,0,0,7.75,Q,1,1
117,118,0,2,male,29.0,1,0,21.0,S,1,2
118,119,0,1,male,24.0,0,1,247.5208,C,1,0
119,120,0,3,female,2.0,4,2,31.275,S,0,2
120,121,0,2,male,21.0,2,0,73.5,S,1,2
122,123,0,2,male,32.5,1,0,30.0708,C,1,0
123,124,1,2,female,32.5,0,0,13.0,S,0,2
124,125,0,1,male,54.0,0,1,77.2875,S,1,2
125,126,1,3,male,12.0,1,0,11.2417,C,1,0
127,128,1,3,male,24.0,0,0,7.1417,S,1,2
129,130,0,3,male,45.0,0,0,6.975,S,1,2
130,131,0,3,male,33.0,0,0,7.8958,C,1,0
131,132,0,3,male,20.0,0,0,7.05,S,1,2
132,133,0,3,female,47.0,1,0,14.5,S,0,2
133,134,1,2,female,29.0,1,0,26.0,S,0,2
134,135,0,2,male,25.0,0,0,13.0,S,1,2
135,136,0,2,male,23.0,0,0,15.0458,C,1,0
136,137,1,1,female,19.0,0,2,26.2833,S,0,2
137,138,0,1,male,37.0,1,0,53.1,S,1,2
138,139,0,3,male,16.0,0,0,9.2167,S,1,2
139,140,0,1,male,24.0,0,0,79.2,C,1,0
141,142,1,3,female,22.0,0,0,7.75,S,0,2
142,143,1,3,female,24.0,1,0,15.85,S,0,2
143,144,0,3,male,19.0,0,0,6.75,Q,1,1
144,145,0,2,male,18.0,0,0,11.5,S,1,2
145,146,0,2,male,19.0,1,1,36.75,S,1,2
146,147,1,3,male,27.0,0,0,7.7958,S,1,2
147,148,0,3,female,9.0,2,2,34.375,S,0,2
148,149,0,2,male,36.5,0,2,26.0,S,1,2
149,150,0,2,male,42.0,0,0,13.0,S,1,2
150,151,0,2,male,51.0,0,0,12.525,S,1,2
151,152,1,1,female,22.0,1,0,66.6,S,0,2
152,153,0,3,male,55.5,0,0,8.05,S,1,2
153,154,0,3,male,40.5,0,2,14.5,S,1,2
155,156,0,1,male,51.0,0,1,61.3792,C,1,0
156,157,1,3,female,16.0,0,0,7.7333,Q,0,1
157,158,0,3,male,30.0,0,0,8.05,S,1,2
160,161,0,3,male,44.0,0,1,16.1,S,1,2
161,162,1,2,female,40.0,0,0,15.75,S,0,2
162,163,0,3,male,26.0,0,0,7.775,S,1,2
163,164,0,3,male,17.0,0,0,8.6625,S,1,2
164,165,0,3,male,1.0,4,1,39.6875,S,1,2
165,166,1,3,male,9.0,0,2,20.525,S,1,2
167,168,0,3,female,45.0,1,4,27.9,S,0,2
169,170,0,3,male,28.0,0,0,56.4958,S,1,2
170,171,0,1,male,61.0,0,0,33.5,S,1,2
171,172,0,3,male,4.0,4,1,29.125,Q,1,1
172,173,1,3,female,1.0,1,1,11.1333,S,0,2
173,174,0,3,male,21.0,0,0,7.925,S,1,2
174,175,0,1,male,56.0,0,0,30.6958,C,1,0
175,176,0,3,male,18.0,1,1,7.8542,S,1,2
177,178,0,1,female,50.0,0,0,28.7125,C,0,0
178,179,0,2,male,30.0,0,0,13.0,S,1,2
179,180,0,3,male,36.0,0,0,0.0,S,1,2
182,183,0,3,male,9.0,4,2,31.3875,S,1,2
183,184,1,2,male,1.0,2,1,39.0,S,1,2
184,185,1,3,female,4.0,0,2,22.025,S,0,2
187,188,1,1,male,45.0,0,0,26.55,S,1,2
188,189,0,3,male,40.0,1,1,15.5,Q,1,1
189,190,0,3,male,36.0,0,0,7.8958,S,1,2
190,191,1,2,female,32.0,0,0,13.0,S,0,2
191,192,0,2,male,19.0,0,0,13.0,S,1,2
192,193,1,3,female,19.0,1,0,7.8542,S,0,2
193,194,1,2,male,3.0,1,1,26.0,S,1,2
194,195,1,1,female,44.0,0,0,27.7208,C,0,0
195,196,1,1,female,58.0,0,0,146.5208,C,0,0
197,198,0,3,male,42.0,0,1,8.4042,S,1,2
199,200,0,2,female,24.0,0,0,13.0,S,0,2
200,201,0,3,male,28.0,0,0,9.5,S,1,2
202,203,0,3,male,34.0,0,0,6.4958,S,1,2
203,204,0,3,male,45.5,0,0,7.225,C,1,0
204,205,1,3,male,18.0,0,0,8.05,S,1,2
205,206,0,3,female,2.0,0,1,10.4625,S,0,2
206,207,0,3,male,32.0,1,0,15.85,S,1,2
207,208,1,3,male,26.0,0,0,18.7875,C,1,0
208,209,1,3,female,16.0,0,0,7.75,Q,0,1
209,210,1,1,male,40.0,0,0,31.0,C,1,0
210,211,0,3,male,24.0,0,0,7.05,S,1,2
211,212,1,2,female,35.0,0,0,21.0,S,0,2
212,213,0,3,male,22.0,0,0,7.25,S,1,2
213,214,0,2,male,30.0,0,0,13.0,S,1,2
215,216,1,1,female,31.0,1,0,113.275,C,0,0
216,217,1,3,female,27.0,0,0,7.925,S,0,2
217,218,0,2,male,42.0,1,0,27.0,S,1,2
218,219,1,1,female,32.0,0,0,76.2917,C,0,0
219,220,0,2,male,30.0,0,0,10.5,S,1,2
220,221,1,3,male,16.0,0,0,8.05,S,1,2
221,222,0,2,male,27.0,0,0,13.0,S,1,2
222,223,0,3,male,51.0,0,0,8.05,S,1,2
224,225,1,1,male,38.0,1,0,90.0,S,1,2
225,226,0,3,male,22.0,0,0,9.35,S,1,2
226,227,1,2,male,19.0,0,0,10.5,S,1,2
227,228,0,3,male,20.5,0,0,7.25,S,1,2
228,229,0,2,male,18.0,0,0,13.0,S,1,2
230,231,1,1,female,35.0,1,0,83.475,S,0,2
231,232,0,3,male,29.0,0,0,7.775,S,1,2
232,233,0,2,male,59.0,0,0,13.5,S,1,2
233,234,1,3,female,5.0,4,2,31.3875,S,0,2
234,235,0,2,male,24.0,0,0,10.5,S,1,2
236,237,0,2,male,44.0,1,0,26.0,S,1,2
237,238,1,2,female,8.0,0,2,26.25,S,0,2
238,239,0,2,male,19.0,0,0,10.5,S,1,2
239,240,0,2,male,33.0,0,0,12.275,S,1,2
242,243,0,2,male,29.0,0,0,10.5,S,1,2
243,244,0,3,male,22.0,0,0,7.125,S,1,2
244,245,0,3,male,30.0,0,0,7.225,C,1,0
245,246,0,1,male,44.0,2,0,90.0,Q,1,1
246,247,0,3,female,25.0,0,0,7.775,S,0,2
247,248,1,2,female,24.0,0,2,14.5,S,0,2
248,249,1,1,male,37.0,1,1,52.5542,S,1,2
249,250,0,2,male,54.0,1,0,26.0,S,1,2
251,252,0,3,female,29.0,1,1,10.4625,S,0,2
252,253,0,1,male,62.0,0,0,26.55,S,1,2
253,254,0,3,male,30.0,1,0,16.1,S,1,2
254,255,0,3,female,41.0,0,2,20.2125,S,0,2
255,256,1,3,female,29.0,0,2,15.2458,C,0,0
257,258,1,1,female,30.0,0,0,86.5,S,0,2
258,259,1,1,female,35.0,0,0,512.3292,C,0,0
259,260,1,2,female,50.0,0,1,26.0,S,0,2
261,262,1,3,male,3.0,4,2,31.3875,S,1,2
262,263,0,1,male,52.0,1,1,79.65,S,1,2
263,264,0,1,male,40.0,0,0,0.0,S,1,2
265,266,0,2,male,36.0,0,0,10.5,S,1,2
266,267,0,3,male,16.0,4,1,39.6875,S,1,2
267,268,1,3,male,25.0,1,0,7.775,S,1,2
268,269,1,1,female,58.0,0,1,153.4625,S,0,2
269,270,1,1,female,35.0,0,0,135.6333,S,0,2
271,272,1,3,male,25.0,0,0,0.0,S,1,2
272,273,1,2,female,41.0,0,1,19.5,S,0,2
273,274,0,1,male,37.0,0,1,29.7,C,1,0
275,276,1,1,female,63.0,1,0,77.9583,S,0,2
276,277,0,3,female,45.0,0,0,7.75,S,0,2
278,279,0,3,male,7.0,4,1,29.125,Q,1,1
279,280,1,3,female,35.0,1,1,20.25,S,0,2
280,281,0,3,male,65.0,0,0,7.75,Q,1,1
281,282,0,3,male,28.0,0,0,7.8542,S,1,2
282,283,0,3,male,16.0,0,0,9.5,S,1,2
283,284,1,3,male,19.0,0,0,8.05,S,1,2
285,286,0,3,male,33.0,0,0,8.6625,C,1,0
286,287,1,3,male,30.0,0,0,9.5,S,1,2
287,288,0,3,male,22.0,0,0,7.8958,S,1,2
288,289,1,2,male,42.0,0,0,13.0,S,1,2
289,290,1,3,female,22.0,0,0,7.75,Q,0,1
290,291,1,1,female,26.0,0,0,78.85,S,0,2
291,292,1,1,female,19.0,1,0,91.0792,C,0,0
292,293,0,2,male,36.0,0,0,12.875,C,1,0
293,294,0,3,female,24.0,0,0,8.85,S,0,2
294,295,0,3,male,24.0,0,0,7.8958,S,1,2
296,297,0,3,male,23.5,0,0,7.2292,C,1,0
297,298,0,1,female,2.0,1,2,151.55,S,0,2
299,300,1,1,female,50.0,0,1,247.5208,C,0,0
302,303,0,3,male,19.0,0,0,0.0,S,1,2
305,306,1,1,male,0.92,1,2,151.55,S,1,2
307,308,1,1,female,17.0,1,0,108.9,C,0,0
308,309,0,2,male,30.0,1,0,24.0,C,1,0
309,310,1,1,female,30.0,0,0,56.9292,C,0,0
310,311,1,1,female,24.0,0,0,83.1583,C,0,0
311,312,1,1,female,18.0,2,2,262.375,C,0,0
312,313,0,2,female,26.0,1,1,26.0,S,0,2
313,314,0,3,male,28.0,0,0,7.8958,S,1,2
314,315,0,2,male,43.0,1,1,26.25,S,1,2
315,316,1,3,female,26.0,0,0,7.8542,S,0,2
316,317,1,2,female,24.0,1,0,26.0,S,0,2
317,318,0,2,male,54.0,0,0,14.0,S,1,2
318,319,1,1,female,31.0,0,2,164.8667,S,0,2
319,320,1,1,female,40.0,1,1,134.5,C,0,0
320,321,0,3,male,22.0,0,0,7.25,S,1,2
321,322,0,3,male,27.0,0,0,7.8958,S,1,2
322,323,1,2,female,30.0,0,0,12.35,Q,0,1
323,324,1,2,female,22.0,1,1,29.0,S,0,2
325,326,1,1,female,36.0,0,0,135.6333,C,0,0
326,327,0,3,male,61.0,0,0,6.2375,S,1,2
327,328,1,2,female,36.0,0,0,13.0,S,0,2
328,329,1,3,female,31.0,1,1,20.525,S,0,2
329,330,1,1,female,16.0,0,1,57.9792,C,0,0
331,332,0,1,male,45.5,0,0,28.5,S,1,2
332,333,0,1,male,38.0,0,1,153.4625,S,1,2
333,334,0,3,male,16.0,2,0,18.0,S,1,2
336,337,0,1,male,29.0,1,0,66.6,S,1,2
337,338,1,1,female,41.0,0,0,134.5,C,0,0
338,339,1,3,male,45.0,0,0,8.05,S,1,2
339,340,0,1,male,45.0,0,0,35.5,S,1,2
340,341,1,2,male,2.0,1,1,26.0,S,1,2
341,342,1,1,female,24.0,3,2,263.0,S,0,2
342,343,0,2,male,28.0,0,0,13.0,S,1,2
343,344,0,2,male,25.0,0,0,13.0,S,1,2
344,345,0,2,male,36.0,0,0,13.0,S,1,2
345,346,1,2,female,24.0,0,0,13.0,S,0,2
346,347,1,2,female,40.0,0,0,13.0,S,0,2
348,349,1,3,male,3.0,1,1,15.9,S,1,2
349,350,0,3,male,42.0,0,0,8.6625,S,1,2
350,351,0,3,male,23.0,0,0,9.225,S,1,2
352,353,0,3,male,15.0,1,1,7.2292,C,1,0
353,354,0,3,male,25.0,1,0,17.8,S,1,2
355,356,0,3,male,28.0,0,0,9.5,S,1,2
356,357,1,1,female,22.0,0,1,55.0,S,0,2
357,358,0,2,female,38.0,0,0,13.0,S,0,2
360,361,0,3,male,40.0,1,4,27.9,S,1,2
361,362,0,2,male,29.0,1,0,27.7208,C,1,0
362,363,0,3,female,45.0,0,1,14.4542,C,0,0
363,364,0,3,male,35.0,0,0,7.05,S,1,2
365,366,0,3,male,30.0,0,0,7.25,S,1,2
366,367,1,1,female,60.0,1,0,75.25,C,0,0
369,370,1,1,female,24.0,0,0,69.3,C,0,0
370,371,1,1,male,25.0,1,0,55.4417,C,1,0
371,372,0,3,male,18.0,1,0,6.4958,S,1,2
372,373,0,3,male,19.0,0,0,8.05,S,1,2
373,374,0,1,male,22.0,0,0,135.6333,C,1,0
374,375,0,3,female,3.0,3,1,21.075,S,0,2
376,377,1,3,female,22.0,0,0,7.25,S,0,2
377,378,0,1,male,27.0,0,2,211.5,C,1,0
378,379,0,3,male,20.0,0,0,4.0125,C,1,0
379,380,0,3,male,19.0,0,0,7.775,S,1,2
380,381,1,1,female,42.0,0,0,227.525,C,0,0
381,382,1,3,female,1.0,0,2,15.7417,C,0,0
382,383,0,3,male,32.0,0,0,7.925,S,1,2
383,384,1,1,female,35.0,1,0,52.0,S,0,2
385,386,0,2,male,18.0,0,0,73.5,S,1,2
386,387,0,3,male,1.0,5,2,46.9,S,1,2
387,388,1,2,female,36.0,0,0,13.0,S,0,2
389,390,1,2,female,17.0,0,0,12.0,C,0,0
390,391,1,1,male,36.0,1,2,120.0,S,1,2
391,392,1,3,male,21.0,0,0,7.7958,S,1,2
392,393,0,3,male,28.0,2,0,7.925,S,1,2
393,394,1,1,female,23.0,1,0,113.275,C,0,0
394,395,1,3,female,24.0,0,2,16.7,S,0,2
395,396,0,3,male,22.0,0,0,7.7958,S,1,2
396,397,0,3,female,31.0,0,0,7.8542,S,0,2
397,398,0,2,male,46.0,0,0,26.0,S,1,2
398,399,0,2,male,23.0,0,0,10.5,S,1,2
399,400,1,2,female,28.0,0,0,12.65,S,0,2
400,401,1,3,male,39.0,0,0,7.925,S,1,2
401,402,0,3,male,26.0,0,0,8.05,S,1,2
402,403,0,3,female,21.0,1,0,9.825,S,0,2
403,404,0,3,male,28.0,1,0,15.85,S,1,2
404,405,0,3,female,20.0,0,0,8.6625,S,0,2
405,406,0,2,male,34.0,1,0,21.0,S,1,2
406,407,0,3,male,51.0,0,0,7.75,S,1,2
407,408,1,2,male,3.0,1,1,18.75,S,1,2
408,409,0,3,male,21.0,0,0,7.775,S,1,2
412,413,1,1,female,33.0,1,0,90.0,Q,0,1
414,415,1,3,male,44.0,0,0,7.925,S,1,2
416,417,1,2,female,34.0,1,1,32.5,S,0,2
417,418,1,2,female,18.0,0,2,13.0,S,0,2
418,419,0,2,male,30.0,0,0,13.0,S,1,2
419,420,0,3,female,10.0,0,2,24.15,S,0,2
421,422,0,3,male,21.0,0,0,7.7333,Q,1,1
422,423,0,3,male,29.0,0,0,7.875,S,1,2
423,424,0,3,female,28.0,1,1,14.4,S,0,2
424,425,0,3,male,18.0,1,1,20.2125,S,1,2
426,427,1,2,female,28.0,1,0,26.0,S,0,2
427,428,1,2,female,19.0,0,0,26.0,S,0,2
429,430,1,3,male,32.0,0,0,8.05,S,1,2
430,431,1,1,male,28.0,0,0,26.55,S,1,2
432,433,1,2,female,42.0,1,0,26.0,S,0,2
433,434,0,3,male,17.0,0,0,7.125,S,1,2
434,435,0,1,male,50.0,1,0,55.9,S,1,2
435,436,1,1,female,14.0,1,2,120.0,S,0,2
436,437,0,3,female,21.0,2,2,34.375,S,0,2
437,438,1,2,female,24.0,2,3,18.75,S,0,2
438,439,0,1,male,64.0,1,4,263.0,S,1,2
439,440,0,2,male,31.0,0,0,10.5,S,1,2
440,441,1,2,female,45.0,1,1,26.25,S,0,2
441,442,0,3,male,20.0,0,0,9.5,S,1,2
442,443,0,3,male,25.0,1,0,7.775,S,1,2
443,444,1,2,female,28.0,0,0,13.0,S,0,2
445,446,1,1,male,4.0,0,2,81.8583,S,1,2
446,447,1,2,female,13.0,0,1,19.5,S,0,2
447,448,1,1,male,34.0,0,0,26.55,S,1,2
448,449,1,3,female,5.0,2,1,19.2583,C,0,0
449,450,1,1,male,52.0,0,0,30.5,S,1,2
450,451,0,2,male,36.0,1,2,27.75,S,1,2
452,453,0,1,male,30.0,0,0,27.75,C,1,0
453,454,1,1,male,49.0,1,0,89.1042,C,1,0
455,456,1,3,male,29.0,0,0,7.8958,C,1,0
456,457,0,1,male,65.0,0,0,26.55,S,1,2
458,459,1,2,female,50.0,0,0,10.5,S,0,2
460,461,1,1,male,48.0,0,0,26.55,S,1,2
461,462,0,3,male,34.0,0,0,8.05,S,1,2
462,463,0,1,male,47.0,0,0,38.5,S,1,2
463,464,0,2,male,48.0,0,0,13.0,S,1,2
465,466,0,3,male,38.0,0,0,7.05,S,1,2
467,468,0,1,male,56.0,0,0,26.55,S,1,2
469,470,1,3,female,0.75,2,1,19.2583,C,0,0
471,472,0,3,male,38.0,0,0,8.6625,S,1,2
472,473,1,2,female,33.0,1,2,27.75,S,0,2
473,474,1,2,female,23.0,0,0,13.7917,C,0,0
474,475,0,3,female,22.0,0,0,9.8375,S,0,2
476,477,0,2,male,34.0,1,0,21.0,S,1,2
477,478,0,3,male,29.0,1,0,7.0458,S,1,2
478,479,0,3,male,22.0,0,0,7.5208,S,1,2
479,480,1,3,female,2.0,0,1,12.2875,S,0,2
480,481,0,3,male,9.0,5,2,46.9,S,1,2
482,483,0,3,male,50.0,0,0,8.05,S,1,2
483,484,1,3,female,63.0,0,0,9.5875,S,0,2
484,485,1,1,male,25.0,1,0,91.0792,C,1,0
486,487,1,1,female,35.0,1,0,90.0,S,0,2
487,488,0,1,male,58.0,0,0,29.7,C,1,0
488,489,0,3,male,30.0,0,0,8.05,S,1,2
489,490,1,3,male,9.0,1,1,15.9,S,1,2
491,492,0,3,male,21.0,0,0,7.25,S,1,2
492,493,0,1,male,55.0,0,0,30.5,S,1,2
493,494,0,1,male,71.0,0,0,49.5042,C,1,0
494,495,0,3,male,21.0,0,0,8.05,S,1,2
496,497,1,1,female,54.0,1,0,78.2667,C,0,0
498,499,0,1,female,25.0,1,2,151.55,S,0,2
499,500,0,3,male,24.0,0,0,7.7958,S,1,2
500,501,0,3,male,17.0,0,0,8.6625,S,1,2
501,502,0,3,female,21.0,0,0,7.75,Q,0,1
503,504,0,3,female,37.0,0,0,9.5875,S,0,2
504,505,1,1,female,16.0,0,0,86.5,S,0,2
505,506,0,1,male,18.0,1,0,108.9,C,1,0
506,507,1,2,female,33.0,0,2,26.0,S,0,2
508,509,0,3,male,28.0,0,0,22.525,S,1,2
509,510,1,3,male,26.0,0,0,56.4958,S,1,2
510,511,1,3,male,29.0,0,0,7.75,Q,1,1
512,513,1,1,male,36.0,0,0,26.2875,S,1,2
513,514,1,1,female,54.0,1,0,59.4,C,0,0
514,515,0,3,male,24.0,0,0,7.4958,S,1,2
515,516,0,1,male,47.0,0,0,34.0208,S,1,2
516,517,1,2,female,34.0,0,0,10.5,S,0,2
518,519,1,2,female,36.0,1,0,26.0,S,0,2
519,520,0,3,male,32.0,0,0,7.8958,S,1,2
520,521,1,1,female,30.0,0,0,93.5,S,0,2
521,522,0,3,male,22.0,0,0,7.8958,S,1,2
523,524,1,1,female,44.0,0,1,57.9792,C,0,0
525,526,0,3,male,40.5,0,0,7.75,Q,1,1
526,527,1,2,female,50.0,0,0,10.5,S,0,2
528,529,0,3,male,39.0,0,0,7.925,S,1,2
529,530,0,2,male,23.0,2,1,11.5,S,1,2
530,531,1,2,female,2.0,1,1,26.0,S,0,2
532,533,0,3,male,17.0,1,1,7.2292,C,1,0
534,535,0,3,female,30.0,0,0,8.6625,S,0,2
535,536,1,2,female,7.0,0,2,26.25,S,0,2
536,537,0,1,male,45.0,0,0,26.55,S,1,2
537,538,1,1,female,30.0,0,0,106.425,C,0,0
539,540,1,1,female,22.0,0,2,49.5,C,0,0
540,541,1,1,female,36.0,0,2,71.0,S,0,2
541,542,0,3,female,9.0,4,2,31.275,S,0,2
542,543,0,3,female,11.0,4,2,31.275,S,0,2
543,544,1,2,male,32.0,1,0,26.0,S,1,2
544,545,0,1,male,50.0,1,0,106.425,C,1,0
545,546,0,1,male,64.0,0,0,26.0,S,1,2
546,547,1,2,female,19.0,1,0,26.0,S,0,2
548,549,0,3,male,33.0,1,1,20.525,S,1,2
549,550,1,2,male,8.0,1,1,36.75,S,1,2
550,551,1,1,male,17.0,0,2,110.8833,C,1,0
551,552,0,2,male,27.0,0,0,26.0,S,1,2
553,554,1,3,male,22.0,0,0,7.225,C,1,0
554,555,1,3,female,22.0,0,0,7.775,S,0,2
555,556,0,1,male,62.0,0,0,26.55,S,1,2
556,557,1,1,female,48.0,1,0,39.6,C,0,0
558,559,1,1,female,39.0,1,1,79.65,S,0,2
559,560,1,3,female,36.0,1,0,17.4,S,0,2
561,562,0,3,male,40.0,0,0,7.8958,S,1,2
562,563,0,2,male,28.0,0,0,13.5,S,1,2
565,566,0,3,male,24.0,2,0,24.15,S,1,2
566,567,0,3,male,19.0,0,0,7.8958,S,1,2
567,568,0,3,female,29.0,0,4,21.075,S,0,2
569,570,1,3,male,32.0,0,0,7.8542,S,1,2
570,571,1,2,male,62.0,0,0,10.5,S,1,2
571,572,1,1,female,53.0,2,0,51.4792,S,0,2
572,573,1,1,male,36.0,0,0,26.3875,S,1,2
574,575,0,3,male,16.0,0,0,8.05,S,1,2
575,576,0,3,male,19.0,0,0,14.5,S,1,2
576,577,1,2,female,34.0,0,0,13.0,S,0,2
577,578,1,1,female,39.0,1,0,55.9,S,0,2
579,580,1,3,male,32.0,0,0,7.925,S,1,2
580,581,1,2,female,25.0,1,1,30.0,S,0,2
581,582,1,1,female,39.0,1,1,110.8833,C,0,0
582,583,0,2,male,54.0,0,0,26.0,S,1,2
583,584,0,1,male,36.0,0,0,40.125,C,1,0
585,586,1,1,female,18.0,0,2,79.65,S,0,2
586,587,0,2,male,47.0,0,0,15.0,S,1,2
587,588,1,1,male,60.0,1,1,79.2,C,1,0
588,589,0,3,male,22.0,0,0,8.05,S,1,2
590,591,0,3,male,35.0,0,0,7.125,S,1,2
591,592,1,1,female,52.0,1,0,78.2667,C,0,0
592,593,0,3,male,47.0,0,0,7.25,S,1,2
594,595,0,2,male,37.0,1,0,26.0,S,1,2
595,596,0,3,male,36.0,1,1,24.15,S,1,2
597,598,0,3,male,49.0,0,0,0.0,S,1,2
599,600,1,1,male,49.0,1,0,56.9292,C,1,0
600,601,1,2,female,24.0,2,1,27.0,S,0,2
603,604,0,3,male,44.0,0,0,8.05,S,1,2
604,605,1,1,male,35.0,0,0,26.55,C,1,0
605,606,0,3,male,36.0,1,0,15.55,S,1,2
606,607,0,3,male,30.0,0,0,7.8958,S,1,2
607,608,1,1,male,27.0,0,0,30.5,S,1,2
608,609,1,2,female,22.0,1,2,41.5792,C,0,0
609,610,1,1,female,40.0,0,0,153.4625,S,0,2
610,611,0,3,female,39.0,1,5,31.275,S,0,2
614,615,0,3,male,35.0,0,0,8.05,S,1,2
615,616,1,2,female,24.0,1,2,65.0,S,0,2
616,617,0,3,male,34.0,1,1,14.4,S,1,2
617,618,0,3,female,26.0,1,0,16.1,S,0,2
618,619,1,2,female,4.0,2,1,39.0,S,0,2
619,620,0,2,male,26.0,0,0,10.5,S,1,2
620,621,0,3,male,27.0,1,0,14.4542,C,1,0
621,622,1,1,male,42.0,1,0,52.5542,S,1,2
